Cell	Target	Treatment	Duration	Replicate	Replicate.2	Run	SRR	ExperimentSRX	ControlName	Raw	SampleName	Library	Concat
A549	GR	dex	8h	rep3	1	R1	SRR7122184	SRX4043733	GSE114063	A549.GR.dex.8h.rep3	A549.GR.dex.8h	Paired	A549.GR.dex.8h.rep3.R1
A549	GR	dex	8h	rep3	1	R2	SRR7122184	SRX4043733	GSE114063	A549.GR.dex.8h.rep3	A549.GR.dex.8h	Paired	A549.GR.dex.8h.rep3.R2
A549	GR	dex	8h	rep4	1	R1	SRR7122185	SRX4043734	GSE114063	A549.GR.dex.8h.rep4	A549.GR.dex.8h	Paired	A549.GR.dex.8h.rep4.R1
A549	GR	dex	8h	rep4	1	R2	SRR7122185	SRX4043734	GSE114063	A549.GR.dex.8h.rep4	A549.GR.dex.8h	Paired	A549.GR.dex.8h.rep4.R2
A549	GR	dex	8h	rep5	1	R1	SRR7122186	SRX4043735	GSE114063	A549.GR.dex.8h.rep5	A549.GR.dex.8h	Paired	A549.GR.dex.8h.rep5.R1
A549	GR	dex	8h	rep5	1	R2	SRR7122186	SRX4043735	GSE114063	A549.GR.dex.8h.rep5	A549.GR.dex.8h	Paired	A549.GR.dex.8h.rep5.R2
A549	GR	dex	12h	rep1	1	R1	SRR7122187	SRX4043736	GSE114063	A549.GR.dex.12h.rep1	A549.GR.dex.12h	Paired	A549.GR.dex.12h.rep1.R1
A549	GR	dex	12h	rep1	1	R2	SRR7122187	SRX4043736	GSE114063	A549.GR.dex.12h.rep1	A549.GR.dex.12h	Paired	A549.GR.dex.12h.rep1.R2
A549	GR	dex	12h	rep2	1	R1	SRR7122188	SRX4043737	GSE114063	A549.GR.dex.12h.rep2	A549.GR.dex.12h	Paired	A549.GR.dex.12h.rep2.R1
A549	GR	dex	12h	rep2	1	R2	SRR7122188	SRX4043737	GSE114063	A549.GR.dex.12h.rep2	A549.GR.dex.12h	Paired	A549.GR.dex.12h.rep2.R2
A549	GR	dex	12h	rep3	1	R1	SRR7122189	SRX4043738	GSE114063	A549.GR.dex.12h.rep3	A549.GR.dex.12h	Paired	A549.GR.dex.12h.rep3.R1
A549	GR	dex	12h	rep3	1	R2	SRR7122189	SRX4043738	GSE114063	A549.GR.dex.12h.rep3	A549.GR.dex.12h	Paired	A549.GR.dex.12h.rep3.R2
A549	GR	dex	12h	rep4	1	R1	SRR7122190	SRX4043739	GSE114063	A549.GR.dex.12h.rep4	A549.GR.dex.12h	Paired	A549.GR.dex.12h.rep4.R1
A549	GR	dex	12h	rep4	1	R2	SRR7122190	SRX4043739	GSE114063	A549.GR.dex.12h.rep4	A549.GR.dex.12h	Paired	A549.GR.dex.12h.rep4.R2
A549	GR	dex	12h	rep5	1	R1	SRR7122191	SRX4043740	GSE114063	A549.GR.dex.12h.rep5	A549.GR.dex.12h	Paired	A549.GR.dex.12h.rep5.R1
A549	GR	dex	12h	rep5	1	R2	SRR7122191	SRX4043740	GSE114063	A549.GR.dex.12h.rep5	A549.GR.dex.12h	Paired	A549.GR.dex.12h.rep5.R2
