groseq_dht.plus	groseq_dht.plus	groseq_dht.minus	groseq_dht.minus	groseq_dmso.plus	groseq_dmso.plus	groseq_dmso.minus	groseq_dmso.minus
3.442	8.231	38.11	125.4	6.985	5.668	58.86	165.9
3.442	8.231	38.11	125.4	6.985	5.668	58.86	165.9
3.442	8.231	38.11	125.4	6.985	5.668	58.86	165.9
3.442	8.231	38.11	125.4	6.985	5.668	58.86	165.9
3.442	8.231	38.11	125.4	6.985	5.668	58.86	165.9
3.442	8.231	38.11	125.4	6.985	5.668	58.86	165.9
3.442	8.231	38.11	125.4	6.985	5.668	58.86	165.9
3.442	8.231	38.11	125.4	6.985	5.668	58.86	165.9
3.442	8.231	38.11	125.4	6.985	5.668	58.86	165.9
3.442	8.231	38.11	125.4	6.985	5.668	58.86	165.9
3.442	8.231	38.11	125.4	6.985	5.668	58.86	165.9
3.442	8.231	38.11	125.4	6.985	5.668	58.86	165.9
3.442	8.231	38.11	125.4	6.985	5.668	58.86	165.9
3.442	8.231	38.11	125.4	6.985	5.668	58.86	165.9
3.442	8.231	38.11	125.4	6.985	5.668	58.86	165.9
3.442	8.231	38.11	125.4	6.985	5.668	58.86	165.9
0.2334	73.97	103	2.017	1.483	79.93	151.4	0
85.37	98.05	4.109	6.725	101.6	101.6	4.005	6.508
49.36	154.5	0	0	45.43	154.9	0.3504	0.6508
72.53	85.93	10.58	16.83	84.29	105	17.49	8.24
72.53	85.93	10.58	16.83	84.29	105	17.49	8.24
1.227	0.1134	185.9	0.7472	1.169	0	208.1	0
101.4	83.93	0	0	112.5	98.14	0	0
4.869	18.18	114.1	38.03	4.36	16.35	149.2	45
4.869	18.18	114.1	38.03	4.36	16.35	149.2	45
69.47	84.31	8.563	18.45	85.7	102.2	11.81	9.321
79.96	87.22	9.355	13.82	78.84	84.77	12.77	23.03
144.7	33.69	3.736	0.3811	149.6	48.07	4.015	4.505
23.28	102.7	2.473	2.152	27.16	225.4	3.384	1.812
4.042	4.616	20.76	156.4	7.814	3.907	20.32	170.5
109.9	86.49	0.0523	0.6949	105.8	79.87	0	0
76.39	89.77	7.352	13.45	84.56	79.15	10.01	19.54
76.39	89.77	7.352	13.45	84.56	79.15	10.01	19.54
76.39	89.77	7.352	13.45	84.56	79.15	10.01	19.54
77.1	111	0.6575	0	70.92	118.2	0	2.002
0	0.5002	124.8	48.9	0	0.4709	142.4	60.82
10.14	164.3	0	0	7.168	187.7	0	0
93.78	70.23	1.958	2.413	119.2	76.84	1.772	2.733
64.45	45.86	43.79	26.1	71.94	35.52	47.46	33.5
6.396	158	0	0	8.799	194.4	0	0
2.174	1.814	29.71	145.2	0	0.8372	45.01	141.1
66.57	55.27	21.85	17.05	84.26	56.75	34.38	29.73
66.57	55.27	21.85	17.05	84.26	56.75	34.38	29.73
86.03	78.88	0	0	96.59	103.2	0	0
86.03	78.88	0	0	96.59	103.2	0	0
0	5.523	103.5	72.7	0.8721	5.616	110.8	65.24
27.1	118.2	33.75	0	27.3	108	45.7	1.632
45.9	31.44	44.37	72.88	26.55	28.69	35.8	75.67
49.87	106.9	5.977	1.651	36.43	149.5	6.087	4.716
66.26	87.44	6.65	1.494	74.61	113.4	6.388	0.6608
21.77	49.7	61.01	51.34	15.33	39.39	61.16	54.28
21.77	49.7	61.01	51.34	15.33	39.39	61.16	54.28
0.8604	2.021	96.63	58.77	1.308	2.023	120.9	67.84
0.8604	2.021	96.63	58.77	1.308	2.023	120.9	67.84
0	0.727	77.63	94.2	0.8721	0.9506	85.04	89.12
0	0.727	77.63	94.2	0.8721	0.9506	85.04	89.12
1.261	2.768	100	39.4	0.3401	1.395	156.7	42.6
113.4	40.34	2.324	2.78	136.3	38.82	6.337	3.895
15.94	91.04	48.79	1.868	22.85	93.14	65.68	3.404
55.8	41.85	50.05	16.83	58.18	39.12	52.12	21.47
55.8	41.85	50.05	16.83	58.18	39.12	52.12	21.47
